epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.40314,0.64138,2.92778,1.05683,0.00323,1,0.12206,0.10342,0.42901,2.85262,0.89755,1.667e-05,1.667e-05,1.667e-05
2,3.70264,0.75336,2.90164,1.18225,0.00325,1,0.23413,0.21161,0.38961,2.84632,0.89708,4.75345e-05,4.75345e-05,4.75345e-05
3,4.80626,0.71611,2.9133,1.13753,0.00326,1,0.40085,0.37017,0.3378,2.84612,0.87965,7.50984e-05,7.50984e-05,7.50984e-05
4,5.71097,0.58685,2.74968,1.05699,0.00331,1,0.54111,0.51371,0.2933,2.82635,0.85589,9.93615e-05,9.93615e-05,9.93615e-05
5,6.47149,0.62331,2.46707,1.03017,0.00335,1,0.54806,0.52621,0.25976,2.7586,0.8443,0.000120324,0.000120324,0.000120324
6,7.24362,0.66556,2.31448,1.14644,0.00338,1,0.56683,0.55324,0.28771,2.65281,0.87667,0.000137986,0.000137986,0.000137986
7,7.9964,0.6344,2.04826,1.13509,0.0034,1,0.53926,0.51404,0.32199,2.55545,0.88427,0.000152347,0.000152347,0.000152347
8,8.75973,0.57428,1.84449,1.01828,0.00342,1,0.54639,0.50874,0.31801,2.44965,0.9011,0.000163408,0.000163408,0.000163408
9,9.49401,0.67722,1.90802,1.15428,0.00342,1,0.56139,0.52311,0.3282,2.40837,0.92278,0.000171168,0.000171168,0.000171168
10,10.2424,0.56273,1.70455,1.02564,0.00342,1,0.53331,0.49636,0.35223,2.35969,0.95755,0.000175627,0.000175627,0.000175627
11,12.0019,0.50408,2.13527,0.95952,0.00341,1,0.53006,0.48186,0.35792,2.35223,0.95842,0.000176785,0.000176785,0.000176785
12,13.7826,0.42562,2.15861,0.89202,0.00341,1,0.53006,0.48186,0.35799,2.32492,0.96074,0.000174643,0.000174643,0.000174643
13,14.4634,0.40335,2.07589,0.88681,0.00341,1,0.55206,0.50313,0.36668,2.31685,0.95807,0.000169201,0.000169201,0.000169201
14,15.2673,0.3772,2.04527,0.90612,0.00341,1,0.56706,0.51497,0.38114,2.29744,0.95384,0.000160457,0.000160457,0.000160457
15,16.2821,0.37093,2.0225,0.94234,0.00342,1,0.56179,0.50606,0.38961,2.2745,0.94334,0.000148413,0.000148413,0.000148413
16,17.3851,0.42073,1.95251,0.90559,0.00342,1,0.5727,0.5173,0.38784,2.24425,0.92738,0.000133068,0.000133068,0.000133068
17,18.3024,0.45762,1.87723,0.98139,0.00346,1,0.56398,0.50341,0.38643,2.22582,0.90921,0.000114423,0.000114423,0.000114423
18,18.9426,0.36527,1.83677,0.88213,0.00348,1,0.56398,0.50709,0.37234,2.21306,0.89043,9.24768e-05,9.24768e-05,9.24768e-05
19,19.7181,0.38653,1.85298,0.91775,0.00348,1,0.56398,0.50709,0.35896,2.20368,0.87809,6.72301e-05,6.72301e-05,6.72301e-05
20,20.4652,0.38418,1.86712,0.89768,0.0035,1,0.56075,0.50298,0.35467,2.18743,0.87602,3.86827e-05,3.86827e-05,3.86827e-05
