epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,165.24,1.95808,3.66708,1.82713,0.3905,0.44592,0.36176,0.15789,1.99468,2.04964,1.78332,0.000277091,0.000277091,0.000277091
2,325.475,1.9009,2.08973,1.78475,0.48333,0.43255,0.42018,0.17728,2.01364,1.98684,1.82073,0.000527297,0.000527297,0.000527297
3,484.029,1.89796,1.98494,1.78641,0.51484,0.53958,0.52557,0.23178,1.91305,1.82208,1.76302,0.000750014,0.000750014,0.000750014
4,641.549,1.84371,1.90126,1.7558,0.55283,0.51404,0.57509,0.29395,1.73553,1.63994,1.62818,0.000709299,0.000709299,0.000709299
5,800.036,1.79375,1.75838,1.69973,0.55577,0.6219,0.61169,0.31238,1.69763,1.59451,1.5876,0.000668066,0.000668066,0.000668066
6,958.07,1.7377,1.65869,1.66353,0.62405,0.60094,0.60597,0.29815,1.74022,1.57449,1.61453,0.000626832,0.000626832,0.000626832
7,1115.27,1.69168,1.55792,1.62755,0.6837,0.68808,0.70091,0.37551,1.64487,1.33904,1.58774,0.000585599,0.000585599,0.000585599
8,1273.2,1.65335,1.48124,1.58942,0.73602,0.69191,0.72991,0.41468,1.5911,1.2782,1.5475,0.000544365,0.000544365,0.000544365
9,1431,1.63562,1.42605,1.575,0.69928,0.67979,0.72157,0.39143,1.54274,1.26941,1.48564,0.000503132,0.000503132,0.000503132
10,1588.72,1.60805,1.36419,1.5521,0.78077,0.70485,0.75875,0.42027,1.5846,1.21396,1.51181,0.000461898,0.000461898,0.000461898
11,1744.26,1.57825,1.17197,1.63064,0.69622,0.71396,0.74989,0.41076,1.55223,1.20268,1.49116,0.000420665,0.000420665,0.000420665
12,1897.41,1.54322,1.09028,1.6071,0.72156,0.75537,0.77936,0.46211,1.50375,1.13936,1.48594,0.000379431,0.000379431,0.000379431
13,2051.32,1.49995,1.04409,1.58316,0.75992,0.76158,0.7925,0.46895,1.45151,1.09504,1.43144,0.000338198,0.000338198,0.000338198
14,2205.19,1.46937,0.98704,1.55604,0.77531,0.73475,0.76819,0.44884,1.47587,1.07526,1.45108,0.000296964,0.000296964,0.000296964
15,2360.19,1.44327,0.9424,1.53723,0.76084,0.77245,0.80211,0.49344,1.44222,1.04722,1.41471,0.000255731,0.000255731,0.000255731
16,2513.77,1.40835,0.88871,1.50737,0.77501,0.76616,0.80286,0.49308,1.44267,1.01494,1.41616,0.000214497,0.000214497,0.000214497
17,2667.96,1.36759,0.84947,1.47841,0.77312,0.75716,0.79861,0.49195,1.43307,1.02383,1.39365,0.000173264,0.000173264,0.000173264
18,2820.77,1.33777,0.81042,1.4508,0.78578,0.76808,0.81163,0.50746,1.41745,0.97792,1.39237,0.000132031,0.000132031,0.000132031
19,2975.1,1.29559,0.76969,1.41899,0.77599,0.78617,0.82533,0.51919,1.37038,0.95174,1.36509,9.0797e-05,9.0797e-05,9.0797e-05
20,3128.91,1.26136,0.74417,1.39776,0.76803,0.79442,0.83062,0.52841,1.38154,0.93097,1.38029,4.95635e-05,4.95635e-05,4.95635e-05
