epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,143.367,1.97155,3.71187,1.81989,0.30706,0.34123,0.28058,0.12393,1.8844,2.38253,1.72404,0.000277091,0.000277091,0.000277091
2,280.269,1.86897,2.52228,1.74141,0.54862,0.45713,0.43792,0.18768,1.90746,2.20721,1.72411,0.000527297,0.000527297,0.000527297
3,416.117,1.86048,2.14678,1.73377,0.6164,0.37548,0.46546,0.2207,1.79852,1.89903,1.66067,0.000750014,0.000750014,0.000750014
4,550.101,1.82683,1.97898,1.70826,0.47693,0.65721,0.56821,0.29992,1.70972,1.78844,1.58779,0.000709299,0.000709299,0.000709299
5,683.83,1.79389,1.84007,1.66771,0.52015,0.57747,0.59772,0.30987,1.68241,1.61819,1.61728,0.000668066,0.000668066,0.000668066
6,816.042,1.74878,1.73407,1.63149,0.69039,0.55485,0.63975,0.31659,1.70173,1.53732,1.56406,0.000626832,0.000626832,0.000626832
7,952.675,1.71364,1.64665,1.60959,0.65827,0.67114,0.68062,0.37589,1.5593,1.38147,1.51144,0.000585599,0.000585599,0.000585599
8,1087.73,1.67617,1.56985,1.57761,0.72979,0.64098,0.72102,0.40771,1.55395,1.3364,1.48912,0.000544365,0.000544365,0.000544365
9,1229.73,1.66498,1.51627,1.55671,0.60412,0.66264,0.70983,0.37522,1.58492,1.3612,1.49559,0.000503132,0.000503132,0.000503132
10,1367.69,1.63449,1.45881,1.54326,0.73574,0.69474,0.75522,0.4268,1.56356,1.25842,1.46118,0.000461898,0.000461898,0.000461898
11,1497.07,1.60031,1.27423,1.61059,0.76644,0.66952,0.74789,0.39488,1.58177,1.27207,1.49707,0.000420665,0.000420665,0.000420665
12,1625.31,1.56186,1.19332,1.59105,0.75428,0.72083,0.78095,0.44795,1.51315,1.1703,1.44797,0.000379431,0.000379431,0.000379431
13,1753.19,1.52493,1.14096,1.55819,0.76211,0.73165,0.79562,0.4641,1.51058,1.16115,1.44832,0.000338198,0.000338198,0.000338198
14,1881.07,1.5024,1.08729,1.53979,0.74823,0.72018,0.78454,0.45731,1.48967,1.13738,1.43533,0.000296964,0.000296964,0.000296964
15,2007.41,1.47071,1.05413,1.52055,0.81588,0.77923,0.82023,0.49195,1.43025,1.07736,1.38151,0.000255731,0.000255731,0.000255731
16,2133.59,1.44222,0.99947,1.49414,0.75564,0.79014,0.81851,0.49805,1.40059,1.05589,1.37995,0.000214497,0.000214497,0.000214497
17,2260.97,1.41943,0.96352,1.48182,0.81491,0.73406,0.82054,0.4859,1.46481,1.06596,1.39379,0.000173264,0.000173264,0.000173264
18,2386.83,1.39363,0.92169,1.4563,0.79274,0.77912,0.81655,0.51089,1.42832,1.0438,1.3766,0.000132031,0.000132031,0.000132031
19,2514.57,1.36535,0.88824,1.43449,0.82159,0.75475,0.8211,0.50533,1.39797,1.03073,1.35766,9.0797e-05,9.0797e-05,9.0797e-05
20,2641.57,1.33481,0.86196,1.41494,0.7555,0.80796,0.82437,0.51306,1.41585,1.01389,1.37412,4.95635e-05,4.95635e-05,4.95635e-05
